Time,Line,Dir,Occupation,TypeS,TypeV,Remarks,
09:32,P,E,-,P,S,EMTMadridTest,
09:32,313,E,-,G,C,-,
09:33,341,E,0.3,N,S,-,
09:34,334,W,0.3,N,S,-,
09:34,334,E,0.2,N,S,-,
09:34,145,W,0.6,N,S,-,
09:35,337,E,0.3,N,S,-,
09:35,313,E,0.1,N,O,-,
09:35,312A,E,0.2,N,S,-,
09:36,63,E,-,D,S,-,
09:37,332,W,0.7,N,S,-,
09:37,341,W,0.2,N,S,-,
09:37,332,E,0.2,N,S,-,
09:37,63,W,0.4,N,S,-,
09:38,143,W,-,D,S,-,
09:38,63,E,0.2,N,S,-,
09:38,331,E,0.5,N,S,-,
09:39,63,E,-,D,S,-,
09:40,336,W,-,D,S,-,
09:40,313,W,0.4,N,S,-,
09:40,90,W,0.2,N,S,-,
09:40,90,E,0.2,N,S,-,
09:41,336,W,0.6,N,S,-,
09:41,312A,W,0.5,N,S,-,
09:41,333,E,0.2,N,S,-,
09:42,337,W,0.4,N,S,-,
09:42,145,E,0.6,N,S,-,
09:43,337,E,-,D,S,-,
09:43,312,E,-,G,S,-,
09:43,63,W,0.4,N,S,-,
09:43,145,E,-,G,S,-,
09:44,334,W,0.2,N,S,-,
09:44,331,W,0.2,N,S,-,
09:46,337,E,-,G,S,-,
09:46,334,E,0.2,N,S,-,
09:46,63,E,0.1,N,S,-,
09:46,351,W,0.2,N,S,-,
09:47,63,E,-,G,S,-,
09:47,142,E,-,G,S,-,
09:48,341,E,0.3,N,S,-,
09:48,312,W,0.2,N,S,-,
09:48,337,W,0.9,N,S,-,
09:48,144,E,-,G,S,-,
09:49,312,E,0.5,N,S,-,
09:49,333,W,0.2,N,S,-,
09:49,341,E,-,D,S,-,
09:49,63,W,0.4,N,S,-,
09:50,336,E,-,G,S,-,
09:51,144,E,-,G,S,-,
09:51,-,W,-,D,S,Possible331/332/333/334,
09:51,341,W,0.5,N,S,-,
09:51,332,W,0.4,N,S,-,
09:52,145,W,0.2,N,S,-,
09:52,312,W,0.5,N,C,-,
09:52,331,W,0.4,N,S,-,
09:52,332,E,0.3,N,S,-,
09:53,331,E,0.5,N,S,-,
09:53,312,W,0.5,N,S,-,
09:53,63,E,0.4,N,S,-,
09:53,145,E,0.6,N,S,-,
09:54,336,E,-,G,S,-,
09:54,337,E,-,G,S,-,
09:54,90,W,0.3,N,S,-,
09:54,90,E,0.5,N,S,-,
09:55,56,E,-,G,S,-,
09:56,143,E,-,G,S,-,
09:56,326,E,-,G,S,-,
09:57,145,E,-,D,S,-,
09:57,142,E,-,G,S,-,
09:58,337,E,-,G,S,-,
09:58,333,E,0.1,N,S,-,
09:59,334,W,0.4,N,S,-,
10:00,341,W,0.3,N,S,-,
10:00,337,E,-,G,S,-,
10:00,63,W,0.7,N,S,-,
10:00,341,E,-,G,S,-,
10:00,334,E,0.3,N,S,-,
10:01,8,W,-,D,-,
10:02,1000,W,-,E,C,ALSASchoolCoach,
10:02,1000,W,-,E,C,ALSASchoolCoach,
10:03,333,W,0.3,N,S,-,
10:03,331,W,0.4,N,S,-,
10:03,332,W,0.5,N,S,-,
10:03,312A,E,0.2,N,S,-,
10:03,63,E,-,D,S,-,
10:03,341,E,-,G,S,-,
10:04,326,E,0.3,N,S,-,
10:04,331,E,0.4,N,S,-,
10:05,312,E,-,G,C,-,
10:06,145,W,0.7,N,S,-,
10:06,341,E,0.1,N,S,-,
10:06,145,E,-,G,S,-,
10:06,63,W,0.2,N,S,-,
10:06,341,E,0.1,N,S,-,
10:06,90,W,0.1,N,S,-,
10:07,332,E,0.3,N,S,-,
10:07,63,E,0.5,N,S,-,
10:08,337,W,-,D,S,-,
10:08,353,W,0.2,N,S,-,
10:08,312A,W,0.5,N,S,-,
10:08,341,W,0.3,N,S,-,
10:09,90,E,0.2,N,S,-,
10:10,313,E,0.3,N,S,-,
10:10,353,W,0.3,N,S,-,
10:12,333,E,0.4,N,S,-,
10:12,313,W,0.5,N,S,-,
10:12,352,W,0.3,N,C,-,
10:12,334,W,0.4,N,S,-,
10:12,352,W,0.2,N,S,-,
10:13,145,E,0.5,N,S,-,
10:13,63,E,0.4,N,S,-,
10:15,341,W,0.3,N,S,-,
10:15,332,W,0.4,N,S,-,
10:17,336,W,0.1,N,S,-,
10:17,145,W,0.8,N,S,-,
10:17,334,E,0.2,N,S,-,
10:19,63,W,0.6,N,S,-,
10:19,312,E,0.1,N,S,-,
10:19,313,E,-,G,S,-,
10:22,54,W,-,D,S,-,
10:22,312,E,-,G,S,-,
10:22,90,E,0,N,S,-,
10:22,331,E,0.2,N,S,-,
10:22,90,W,0.1,N,S,-,
10:23,341,E,-,G,S,-,
10:23,63,E,-,G,S,-,
10:24,312,W,0.2,N,S,-,
10:24,63,E,0.7,N,S,-,
10:25,145,W,0.6,N,S,-,
10:25,332,E,0.5,N,S,-,
10:27,333,E,0.2,N,S,-,
10:27,336,E,-,G,S,-,
10:28,63,W,0.7,N,S,-,
10:28,333,W,0.6,N,S,-,
10:29,334,W,0.6,N,S,-,
10:30,332,W,0.7,N,S,-,
